Publication_year,NPmaterials,NPshape,Coated,Charge,Pegylation,Uptakepathway,Toxicity,Immuneresponse,Otherbiologicaleffect,PCmethods,Incubationcondition,PCprotein
2021,Lipoplexes,Others,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Proteomics,Bovine,Albumin
2021,Micelles,Others,Coated,Positive charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Medium,Fibrinogen
2022,Gold,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Biodistribution,Microscope,Serum,Others
2023,Lipoplexes,Others,Unknown,Positive charge,Pegylated,Unknown,Unknown,Others,Biodistribution,Microscope,Plasma,Lipoprotein
2014,Colloids,Nanotubes,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Complement,Biodistribution,Spectrum,Plasma,Fibrinogen
2015,Colloids,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Others,Anticancer,Spectrum,Serum,Albumin
2016,Lipoplexes,Spherical,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Complement,Anticancer,Proteomics,Plasma,Fibrinogen
2017,Micelles,Nanorods,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Others,Stability,Spectrum,Medium,Albumin
2020,Lipoplexes,Others,Coated,Positive charge,Pegylated,Unknown,Cytotoxicity,Complement,Biodistribution,Proteomics,Plasma,Lipoprotein
2020,Others,Spherical,Coated,Neutral,Pegylated,Phagocytosis,Cytotoxicity,Complement,Enzymes,Sdspage,Plasma,Others
2014,Others,Nanorods,Coated,Negative charge,Pegylated,Unknown,Cytotoxicity,Macrophages,Anticancer,Proteomics,Bovine,Albumin
2015,Virus,Nanorods,Coated,Unknown,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Fluorescence,Serum,Others
2019,Magnetic,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Others,Targeting,Microscope,Plasma,Transferrin
2019,Lipoplexes,Spherical,Coated,Negative charge,Pegylated,Phagocytosis,Mitochondrial toxicity,Complement,Anticancer,Proteomics,Plasma,Lipoprotein
2019,Gold,Others,Coated,Negative charge,Pegylated,Phagocytosis,Cytotoxicity,Macrophages,Stability,Spectrum,Serum,Albumin
2019,Lipoplexes,Others,Coated,Positive charge,Pegylated,Unknown,Unknown,Complement,Anticancer,Proteomics,Serum,Albumin
2020,Others,Nanotubes,Coated,Positive charge,Pegylated,Phagocytosis,Unknown,Macrophages,Biodistribution,Spectrum,Serum,Albumin
2020,Micelles,Spherical,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Biodistribution,Microscope,Plasma,Albumin
2020,Others,Nanorods,Coated,Negative charge,Pegylated,Endocytosis,Cytotoxicity,Macrophages,Anticancer,Microscope,Serum,Albumin
